timestamp,dist_real_cm,dist_sensor_cm
1771607401.55524,5,4.34
1771607401.58029,5,4.33
1771607401.60538,5,4.32
1771607401.63043,5,4.42
1771607401.65549,5,4.4
1771607401.68054,5,4.34
1771607401.70560,5,4.43
1771607401.73067,5,4.42
1771607401.75573,5,4.42
1771607401.78079,5,4.34
1771607401.80585,5,4.4
1771607401.83091,5,4.43
1771607401.85597,5,4.4
1771607401.88104,5,4.44
1771607401.90609,5,4.37
1771607401.93116,5,4.44
1771607401.95622,5,4.37
1771607401.98128,5,4.44
1771607402.00634,5,4.35
1771607402.03140,5,4.44
1771607402.05646,5,4.44
1771607402.08152,5,4.36
1771607402.10658,5,4.41
1771607402.13164,5,4.42
1771607402.15670,5,4.36
1771607402.18177,5,4.35
1771607402.20682,5,4.35
1771607402.23188,5,4.35
1771607402.25696,5,4.36
1771607402.28204,5,4.43
1771607402.30708,5,4.42
1771607402.33214,5,4.37
1771607402.35720,5,4.36
1771607402.38227,5,4.44
1771607402.40774,5,4.35
1771607402.43278,5,4.42
1771607402.45784,5,4.35
1771607402.48289,5,4.35
1771607402.50796,5,4.39
1771607402.53302,5,4.46
1771607402.55808,5,4.36
1771607402.58314,5,4.35
1771607402.60821,5,4.43
1771607402.63328,5,4.36
1771607402.65834,5,4.42
1771607402.68343,5,4.37
1771607402.70847,5,4.36
1771607402.73353,5,4.37
1771607402.75859,5,4.35
1771607402.78365,5,4.36
1771607402.80871,5,4.44
1771607402.83377,5,4.35
1771607402.85886,5,4.38
1771607402.88391,5,4.32
1771607402.90897,5,4.44
1771607402.93403,5,4.36
1771607402.95909,5,4.4
1771607402.98415,5,4.4
1771607403.00921,5,4.39
1771607403.03427,5,4.41
1771607403.05934,5,4.43
1771607403.08439,5,4.36
1771607403.10946,5,4.38
1771607403.13452,5,4.36
1771607403.15958,5,4.38
1771607403.18464,5,4.37
1771607403.20971,5,4.36
1771607403.23477,5,4.37
1771607403.25985,5,4.33
1771607403.28490,5,4.36
1771607403.30999,5,4.35
1771607403.33504,5,4.44
1771607403.36009,5,4.36
1771607403.38516,5,4.38
1771607403.41022,5,4.38
1771607403.43528,5,4.45
1771607403.46034,5,4.45
1771607403.48540,5,4.45
1771607403.51046,5,4.37
1771607403.53552,5,4.37
